Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,목표과열,목표과냉과열,현재고압,현재저압,현재과열,현재과냉과열,가중평균실내온도,압축비,현재과냉,,4WAY,HOT GAS,예열운전1,Base Pan 히터,흡입 V/V,,,,,,,,,,,,,,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,과냉각기EEV,VI EEV1,,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,과냉입구온도,과냉출구온도,액관온도,INV IPM온도,INV토출과열도,습도,,,,,,,,,
1,13:55:51,1,,,2663,961,0.0,15.0,2696,739,2.0,35.3,6.20,3.33,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,30.8,3.7,46.1,1.7,65.0,13.0,-100.0,37.0,40.2,93,18.9,0,,,,,,,,,
2,13:55:53,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
3,13:55:55,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
4,13:55:57,1,,,2663,961,0.0,15.0,2663,739,2.0,34.9,6.20,3.29,5.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,45.6,1.7,65.0,13.0,-100.0,36.6,40.6,93,19.4,0,,,,,,,,,
5,13:55:59,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
6,13:56:01,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
7,13:56:03,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,65.0,12.7,-100.0,37.0,40.6,93,18.9,0,,,,,,,,,
8,13:56:05,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,66.0,13.0,-100.0,37.0,40.2,93,19.9,0,,,,,,,,,
9,13:56:07,1,,,2696,961,0.0,15.0,2696,752,1.5,34.8,6.20,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,3.7,46.1,2.2,66.0,13.0,-100.0,37.0,40.2,93,19.9,0,,,,,,,,,
10,13:56:09,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.0,46.1,2.2,66.0,12.7,-100.0,36.6,40.6,93,19.9,0,,,,,,,,,
11,13:56:11,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.0,46.1,2.2,66.0,12.7,-100.0,36.6,40.6,93,19.9,0,,,,,,,,,
12,13:56:13,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.0,46.1,2.2,66.0,12.7,-100.0,36.6,40.6,93,19.9,0,,,,,,,,,
13,13:56:15,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.0,46.1,2.2,66.0,13.0,-100.0,36.6,40.2,93,19.9,0,,,,,,,,,
14,13:56:17,1,,,2696,961,0.0,15.0,2696,752,1.8,34.4,6.60,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.0,46.1,2.2,66.0,13.0,-100.0,36.6,40.2,93,19.9,0,,,,,,,,,
15,13:56:19,1,,,2696,961,0.0,15.0,2696,752,2.2,34.8,6.60,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.4,46.1,2.2,67.0,13.0,-100.0,37.0,40.2,93,20.9,0,,,,,,,,,
16,13:56:21,1,,,2696,961,0.0,15.0,2696,752,2.2,34.8,6.60,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.4,46.1,2.2,67.0,13.0,-100.0,37.0,40.2,93,20.9,0,,,,,,,,,
17,13:56:23,1,,,2696,961,0.0,15.0,2696,752,2.2,34.8,6.60,3.28,5.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.4,46.1,2.2,67.0,13.0,-100.0,37.0,40.2,93,20.9,0,,,,,,,,,
18,13:56:25,1,,,2729,961,0.0,15.0,2696,752,2.2,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.1,2.2,67.0,13.0,-65.2,36.6,40.6,94,20.9,0,,,,,,,,,
19,13:56:27,1,,,2729,961,0.0,15.0,2696,752,2.2,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.1,2.2,67.0,13.0,-65.2,36.6,40.6,94,20.9,0,,,,,,,,,
20,13:56:29,1,,,2729,961,0.0,15.0,2696,752,2.2,34.4,6.60,3.28,5.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.1,2.2,67.0,13.0,-65.2,36.6,40.6,94,20.9,0,,,,,,,,,
21,13:56:32,1,,,2729,961,0.0,15.0,2729,765,1.7,33.9,6.90,3.27,6.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.4,46.6,2.7,67.0,12.7,-100.0,36.6,40.2,94,20.4,0,,,,,,,,,
22,13:56:34,1,,,2729,961,0.0,15.0,2729,765,1.7,33.9,6.90,3.27,6.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.4,46.6,2.7,67.0,12.7,-100.0,36.6,40.2,94,20.4,0,,,,,,,,,
23,13:56:36,1,,,2729,961,0.0,15.0,2729,778,1.3,33.5,6.90,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.6,3.1,67.0,13.0,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
24,13:56:38,1,,,2729,961,0.0,15.0,2729,778,1.3,33.5,6.90,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.6,3.1,67.0,13.0,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
25,13:56:40,1,,,2729,961,0.0,15.0,2729,778,1.3,33.5,6.90,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.4,46.6,3.1,67.0,13.0,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
26,13:56:42,1,,,2729,961,0.0,15.0,2729,778,1.6,33.5,7.30,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.7,46.6,3.1,67.0,13.0,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
27,13:56:44,1,,,2729,961,0.0,15.0,2729,778,1.6,33.5,7.30,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,4.7,46.6,3.1,67.0,13.0,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
28,13:56:46,1,,,2761,961,0.0,15.0,2729,778,1.6,33.5,7.30,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.7,46.6,3.1,67.0,12.7,-100.0,36.6,40.6,94,20.4,0,,,,,,,,,
29,13:56:48,1,,,2761,961,0.0,15.0,2729,778,1.6,33.5,7.30,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.7,46.6,3.1,67.0,12.7,-100.0,36.6,40.6,95,20.4,0,,,,,,,,,
30,13:56:50,1,,,2761,961,0.0,15.0,2729,778,1.6,33.5,7.30,3.22,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,4.7,46.6,3.1,67.0,12.7,-100.0,36.6,40.6,95,20.4,0,,,,,,,,,
31,13:56:52,1,,,2761,961,0.0,15.0,2761,791,1.4,33.4,7.60,3.21,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,3.6,67.0,12.7,-65.2,37.0,41.1,95,19.9,0,,,,,,,,,
32,13:56:54,1,,,2761,961,0.0,15.0,2761,791,1.4,33.4,7.60,3.21,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,3.6,67.0,12.7,-65.2,37.0,41.1,95,19.9,0,,,,,,,,,
33,13:56:56,1,,,2761,961,0.0,15.0,2761,791,1.4,33.4,7.60,3.21,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,3.6,67.0,12.7,-65.2,37.0,41.1,95,19.9,0,,,,,,,,,
34,13:56:58,1,,,2761,961,0.0,15.0,2761,804,0.9,32.9,8.00,3.16,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,4.1,67.0,13.0,-100.0,37.0,41.1,95,19.9,0,,,,,,,,,
35,13:57:00,1,,,2761,961,0.0,15.0,2761,804,0.9,32.9,8.00,3.16,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,4.1,67.0,13.0,-100.0,37.0,41.1,95,19.9,0,,,,,,,,,
36,13:57:02,1,,,2761,961,0.0,15.0,2761,804,0.9,32.9,8.00,3.16,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.0,47.1,4.1,67.0,13.0,-100.0,37.0,41.1,95,19.9,0,,,,,,,,,
37,13:57:04,1,,,2761,961,0.0,15.0,2794,804,1.2,32.9,14.00,3.20,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.3,47.6,4.1,67.0,13.0,-100.0,37.0,41.6,95,19.4,0,,,,,,,,,
38,13:57:06,1,,,2761,961,0.0,15.0,2794,804,1.2,32.9,14.00,3.20,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.3,47.6,4.1,67.0,13.0,-100.0,37.0,41.6,95,19.4,0,,,,,,,,,
39,13:57:08,1,,,2794,961,0.0,15.0,2794,817,1.1,32.5,14.00,3.15,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.6,47.6,4.5,67.0,13.0,-100.0,37.0,41.6,96,19.4,0,,,,,,,,,
40,13:57:10,1,,,2794,961,0.0,15.0,2794,817,1.1,32.5,14.00,3.15,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.6,47.6,4.5,67.0,13.0,-100.0,37.0,41.6,96,19.4,0,,,,,,,,,
41,13:57:12,1,,,2794,961,0.0,15.0,2794,817,1.1,32.5,14.00,3.15,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.2,5.6,47.6,4.5,67.0,13.0,-100.0,37.0,41.6,96,19.4,0,,,,,,,,,
42,13:57:14,1,,,2794,961,0.0,15.0,2794,830,0.9,32.4,14.30,3.11,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,5.9,47.6,5.0,67.0,13.0,-100.0,37.4,41.6,96,19.4,0,,,,,,,,,
43,13:57:16,1,,,2794,961,0.0,15.0,2794,830,0.9,32.4,14.30,3.11,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,5.9,47.6,5.0,67.0,13.0,-100.0,37.4,41.6,96,19.4,0,,,,,,,,,
44,13:57:18,1,,,2794,961,0.0,15.0,2794,856,0.3,31.5,13.30,3.02,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,6.2,47.6,5.9,67.0,12.7,-100.0,37.4,41.6,96,19.4,0,,,,,,,,,
45,13:57:20,1,,,2794,961,0.0,15.0,2794,856,0.3,31.5,13.30,3.02,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,6.2,47.6,5.9,67.0,12.7,-100.0,37.4,41.6,96,19.4,0,,,,,,,,,
46,13:57:22,1,,,2794,961,0.0,15.0,2794,856,0.3,31.5,13.30,3.02,6.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,6.2,47.6,5.9,67.0,12.7,-100.0,37.4,41.6,96,19.4,0,,,,,,,,,
47,13:57:24,1,,,2827,961,0.0,15.0,2827,869,0.4,31.0,12.00,3.02,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,6.8,48.1,6.4,67.0,13.0,-100.0,37.4,41.1,96,18.9,0,,,,,,,,,
48,13:57:26,1,,,2827,961,0.0,15.0,2827,869,0.4,31.0,12.00,3.02,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,6.8,48.1,6.4,67.0,13.0,-100.0,37.4,41.1,96,18.9,0,,,,,,,,,
49,13:57:28,1,,,2827,961,0.0,15.0,2827,869,0.4,31.0,12.00,3.02,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,6.8,48.1,6.4,67.0,13.0,-100.0,37.4,41.1,96,18.9,0,,,,,,,,,
50,13:57:30,1,,,2827,961,0.0,15.0,2827,869,0.7,31.5,11.30,3.02,6.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,7.1,48.1,6.4,68.0,13.0,-100.0,37.9,41.6,97,19.9,0,,,,,,,,,
51,13:57:32,1,,,2827,961,0.0,15.0,2827,869,0.7,31.5,11.30,3.02,6.5,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,7.1,48.1,6.4,68.0,13.0,-100.0,37.9,41.6,97,19.9,0,,,,,,,,,
52,13:57:34,1,,,2827,961,0.0,15.0,2827,882,0.6,31.1,10.70,2.98,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,7.4,48.1,6.8,68.0,13.0,-65.2,37.9,41.1,97,19.9,0,,,,,,,,,
53,13:57:36,1,,,2827,961,0.0,15.0,2827,882,0.6,31.1,10.70,2.98,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,7.4,48.1,6.8,68.0,13.0,-65.2,37.9,41.1,97,19.9,0,,,,,,,,,
54,13:57:38,1,,,2859,961,0.0,15.0,2827,882,0.6,31.1,10.70,2.98,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,7.4,48.1,6.8,68.0,13.0,-65.2,37.9,41.1,97,19.9,0,,,,,,,,,
55,13:57:40,1,,,2859,961,0.0,15.0,2859,895,0.6,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,7.8,48.6,7.2,68.0,12.7,-100.0,37.9,41.6,97,19.4,0,,,,,,,,,
56,13:57:42,1,,,2859,961,0.0,15.0,2859,895,0.6,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,7.8,48.6,7.2,68.0,12.7,-100.0,37.9,41.6,97,19.4,0,,,,,,,,,
57,13:57:44,1,,,2859,961,0.0,15.0,2859,895,0.9,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,8.1,48.6,7.2,68.0,12.7,-100.0,37.9,41.6,97,19.4,0,,,,,,,,,
58,13:57:46,1,,,2859,961,0.0,15.0,2859,895,0.9,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,8.1,48.6,7.2,68.0,12.7,-100.0,37.9,41.6,97,19.4,0,,,,,,,,,
59,13:57:48,1,,,2859,961,0.0,15.0,2859,895,0.9,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,8.1,48.6,7.2,68.0,12.7,-100.0,37.9,41.6,97,19.4,0,,,,,,,,,
60,13:57:50,1,,,2859,961,0.0,15.0,2859,895,1.2,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,8.4,48.6,7.2,68.0,13.0,-100.0,37.9,41.6,98,19.4,0,,,,,,,,,
61,13:57:52,1,,,2859,961,0.0,15.0,2859,895,1.2,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,8.4,48.6,7.2,68.0,13.0,-100.0,37.9,41.6,98,19.4,0,,,,,,,,,
62,13:57:54,1,,,2892,961,0.0,15.0,2859,895,1.2,30.7,10.70,2.97,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,8.4,48.6,7.2,68.0,13.0,-100.0,37.9,41.6,98,19.4,0,,,,,,,,,
63,13:57:56,1,,,2892,961,0.0,15.0,2892,908,1.0,30.2,11.00,2.97,6.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,8.7,49.0,7.7,67.0,13.0,-65.2,37.9,42.1,98,18.0,0,,,,,,,,,
64,13:57:58,1,,,2892,961,0.0,15.0,2892,908,1.0,30.2,11.00,2.97,6.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,8.7,49.0,7.7,67.0,13.0,-65.2,37.9,42.1,98,18.0,0,,,,,,,,,
65,13:58:00,1,,,2892,961,0.0,15.0,2892,908,1.3,30.2,10.70,2.97,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,7.7,68.0,12.7,-100.0,37.9,41.6,98,19.0,0,,,,,,,,,
66,13:58:02,1,,,2892,961,0.0,15.0,2892,908,1.3,30.2,10.70,2.97,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,7.7,68.0,12.7,-100.0,37.9,41.6,98,19.0,0,,,,,,,,,
67,13:58:04,1,,,2892,961,0.0,15.0,2892,908,1.3,30.2,10.70,2.97,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,7.7,68.0,12.7,-100.0,37.9,41.6,98,19.0,0,,,,,,,,,
68,13:58:06,1,,,2892,961,0.0,15.0,2892,922,0.9,29.8,11.00,2.93,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,8.1,68.0,12.7,-65.2,37.9,41.6,99,19.0,0,,,,,,,,,
69,13:58:08,1,,,2892,961,0.0,15.0,2892,922,0.9,29.8,11.00,2.93,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,8.1,68.0,12.7,-65.2,37.9,41.6,99,19.0,0,,,,,,,,,
70,13:58:10,1,,,2892,961,0.0,15.0,2892,922,0.9,29.8,11.00,2.93,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.0,49.0,8.1,68.0,12.7,-65.2,37.9,41.6,99,19.0,0,,,,,,,,,
71,13:58:12,1,,,2892,961,0.0,15.0,2892,922,0.9,29.8,11.00,2.93,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,9.0,49.0,8.1,67.0,13.0,-100.0,37.9,41.6,99,18.0,0,,,,,,,,,
72,13:58:14,1,,,2892,961,0.0,15.0,2892,922,0.9,29.8,11.00,2.93,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,31.6,9.0,49.0,8.1,67.0,13.0,-100.0,37.9,41.6,99,18.0,0,,,,,,,,,
73,13:58:16,1,,,2892,961,0.0,15.0,2925,922,1.2,29.8,11.00,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.3,49.5,8.1,68.0,13.0,-100.0,37.9,41.6,99,18.5,0,,,,,,,,,
74,13:58:18,1,,,2892,961,0.0,15.0,2925,922,1.2,29.8,11.00,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.3,49.5,8.1,68.0,13.0,-100.0,37.9,41.6,99,18.5,0,,,,,,,,,
75,13:58:20,1,,,2892,804,0.0,15.0,2925,922,1.2,29.8,11.00,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.3,49.5,8.1,68.0,13.0,-100.0,37.9,41.6,99,18.5,0,,,,,,,,,
76,13:58:22,1,,,2892,804,0.0,15.0,2925,922,1.6,29.8,11.30,2.96,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.1,68.0,13.0,-100.0,37.9,42.1,99,18.5,0,,,,,,,,,
77,13:58:24,1,,,2892,804,0.0,15.0,2925,922,1.6,29.8,11.30,2.96,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,0,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.1,68.0,13.0,-100.0,37.9,42.1,99,18.5,0,,,,,,,,,
78,13:58:26,1,,,2892,804,0.0,15.0,2925,922,1.6,29.3,11.30,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.1,68.0,12.7,-100.0,37.4,41.6,99,18.5,0,,,,,,,,,
79,13:58:28,1,,,2892,804,0.0,15.0,2925,922,1.6,29.3,11.30,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.1,68.0,12.7,-100.0,37.4,41.6,100,18.5,0,,,,,,,,,
80,13:58:30,1,,,2892,804,0.0,15.0,2925,922,1.6,29.3,11.30,2.96,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.1,68.0,12.7,-100.0,37.4,41.6,100,18.5,0,,,,,,,,,
81,13:58:32,1,,,2892,804,0.0,15.0,2925,935,1.2,28.9,11.70,2.92,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,31.6,9.7,49.5,8.5,68.0,13.0,-100.0,37.4,42.1,100,18.5,0,,,,,,,,,
82,13:58:34,1,,,2892,804,0.0,15.0,2925,935,1.2,28.9,11.70,2.92,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,31.6,9.7,49.5,8.5,68.0,13.0,-100.0,37.4,42.1,100,18.5,0,,,,,,,,,
83,13:58:36,1,,,2892,804,0.0,15.0,2925,935,1.2,28.9,11.70,2.92,7.4,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,31.6,9.7,49.5,8.5,68.0,13.0,-100.0,37.4,42.1,100,18.5,0,,,,,,,,,
84,13:58:38,1,,,2892,804,0.0,15.0,2925,935,1.2,28.9,11.70,2.92,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.5,68.0,12.7,-100.0,37.4,41.6,100,18.5,0,,,,,,,,,
85,13:58:40,1,,,2892,804,0.0,15.0,2925,935,1.2,28.9,11.70,2.92,7.9,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,0,0,0,600,64,0,,,,,,32.0,9.7,49.5,8.5,68.0,12.7,-100.0,37.4,41.6,100,18.5,0,,,,,,,,,
86,13:58:42,1,,,2892,804,0.0,15.0,2859,935,1.2,28.5,11.70,2.86,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,150,0,0,600,64,0,,,,,,31.6,9.7,48.6,8.5,68.0,12.7,-100.0,37.0,41.6,100,19.4,0,,,,,,,,,
87,13:58:44,1,,,2892,804,0.0,15.0,2859,935,1.2,28.5,11.70,2.86,7.0,,0,0,0,0,0,,,,,,,,,,,,,,,,15,15,200,150,0,0,600,64,0,,,,,,31.6,9.7,48.6,8.5,68.0,12.7,-100.0,37.0,41.6,100,19.4,0,,,,,,,,,
