Micom IDU2 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량9,모드9,풍량9,EEV9,공기9,배관in9,배관out9,SC/SH9,추가정보9,통신9,CEN9,에러9,TGT9,TGT29,,,,,용량10,모드10,풍량10,EEV10,공기10,배관in10,배관out10,SC/SH10,추가정보10,통신10,CEN10,에러10,TGT10,TGT210,,,,
37,13:57:04,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
38,13:57:06,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
39,13:57:08,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
40,13:57:10,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
41,13:57:12,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
42,13:57:14,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
43,13:57:16,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
44,13:57:18,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
45,13:57:20,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
46,13:57:22,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
47,13:57:24,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
48,13:57:26,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
49,13:57:28,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
50,13:57:30,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
51,13:57:32,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
52,13:57:34,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
53,13:57:36,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
54,13:57:38,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
55,13:57:40,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
56,13:57:42,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
57,13:57:44,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
58,13:57:46,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
59,13:57:48,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
60,13:57:50,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
61,13:57:52,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
62,13:57:54,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
63,13:57:56,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
64,13:57:58,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
65,13:58:00,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
66,13:58:02,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
67,13:58:04,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
68,13:58:06,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
69,13:58:08,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
70,13:58:10,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
71,13:58:12,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
72,13:58:14,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
73,13:58:16,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
74,13:58:18,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
75,13:58:20,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
76,13:58:22,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
77,13:58:24,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
78,13:58:26,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
79,13:58:28,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
80,13:58:30,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
81,13:58:32,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
82,13:58:34,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
83,13:58:36,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
84,13:58:38,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
85,13:58:40,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
86,13:58:42,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
87,13:58:44,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
88,13:58:46,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
89,13:58:48,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
90,13:58:50,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
91,13:58:52,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
92,13:58:54,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
93,13:58:56,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
94,13:58:58,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
