Micom FDD Data,Time Interval = 2 sec,Save Start Time:,"Friday, December 04 18:51:44, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V H/P,Multi V 5,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점1,Version:,"0.0.0",LGMV:,8.2.9U,External:,"0"
Installer:,설치자1,EEPROM:,"0.0.0",COMP:,"12.12",FAN:,"2.2"
Model:,모델1,IDU NUM:,10,Connect:,ODU
Site:,현장1,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,시운전 종류,시운전 스텝,총봉입냉매량,시운전완료여부,남은시간(min),시운전 에러,실외기 EEV 판정,실내기 EEV 판정,냉매량 판정,냉매량 과부족,실시간 계산값,실시간 계산값,FDD 표시 스텝,기본봉입냉매량
16,18:52:14,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
17,18:52:16,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
18,18:52:18,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
19,18:52:20,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
20,18:52:22,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
21,18:52:24,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
22,18:52:26,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
23,18:52:28,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
24,18:52:30,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
25,18:52:32,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
26,18:52:34,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
27,18:52:36,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
28,18:52:38,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
29,18:52:40,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
30,18:52:42,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
31,18:52:44,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
32,18:52:46,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
33,18:52:48,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
34,18:52:50,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
35,18:52:52,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
36,18:52:54,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
37,18:52:56,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
38,18:52:58,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
39,18:53:00,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
40,18:53:02,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
41,18:53:04,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
42,18:53:06,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
43,18:53:08,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
44,18:53:10,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
45,18:53:12,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
46,18:53:14,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
47,18:53:16,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
48,18:53:18,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
49,18:53:20,2,,,TXT_FDD_ITR_HEAT,0,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
50,18:53:22,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
51,18:53:24,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
52,18:53:26,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
53,18:53:28,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
54,18:53:30,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
55,18:53:32,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
56,18:53:34,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
57,18:53:36,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
58,18:53:38,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
59,18:53:40,2,,,TXT_FDD_ITR_HEAT,1,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
60,18:53:42,2,,,TXT_FDD_ITR_HEAT,2,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
61,18:53:44,2,,,TXT_FDD_ITR_HEAT,2,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
62,18:53:46,2,,,TXT_FDD_ITR_HEAT,2,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
63,18:53:48,2,,,TXT_FDD_ITR_HEAT,3,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
64,18:53:50,2,,,TXT_FDD_ITR_HEAT,3,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
65,18:53:52,2,,,TXT_FDD_ITR_HEAT,3,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
66,18:53:54,2,,,TXT_FDD_ITR_HEAT,3,25.00,TXT_FDD_COMPLETED,0,TXT_FDD_NORMAL,TXT_REPORT_EEV_MESSAGE2_CN,TXT_REPORT_EEV_MESSAGE3_C1,TXT_REPORT_MESSAGE3_DISABLE,TXT_FDD_DEFAULT,0.000000,0.00,0,0.00
