CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
23,0.2,0.2,0.2,0.1,0.2,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,4,100,29,439,100,29,29,93,4,4,240,5,29,5,4,29,29,29,324,29
24,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,7,300,30,8,100,30,30,30,30,30,30,30,30,30,243,30,30,30,322,30
25,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.1,0.2,4,30,30,4,100,30,30,30,30,30,30,30,30,30,120,30,30,30,30,30
26,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.2,5,300,30,400,100,30,30,30,30,30,30,30,30,30,6,30,30,30,10,30
27,0.2,0.2,0.2,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.2,4,300,30,6,100,30,30,30,30,30,31,30,30,30,4,30,30,30,500,30
28,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.2,30,300,30,31,100,30,30,30,30,30,31,30,30,30,4,30,30,30,323,30
29,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.3,0.2,0.1,0.2,31,100,30,4,100,30,30,30,30,30,31,30,30,30,91,30,30,30,186,30
30,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.1,0.2,4,100,31,177,100,30,30,30,4,30,30,30,30,30,7,30,31,31,91,30
31,0.2,0.2,0.3,0.1,0.2,0.3,0.5,0.4,0.2,0.4,0.2,0.2,0.4,0.3,0.1,0.3,0.3,0.4,0.3,0.6,30,31,31,74,100,31,31,31,31,31,31,31,31,31,10,31,31,31,174,30
32,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.3,5,300,30,38,100,30,30,30,31,31,30,30,30,30,217,30,30,31,15,31
