CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
23,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.1,0.2,4,31,31,12,100,31,31,31,31,31,240,31,31,31,27,31,31,31,9,31
24,0.2,0.2,0.2,0.1,0.2,0.2,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.2,0.5,5,31,31,7,100,31,31,31,31,31,240,31,31,31,22,31,31,31,6,31
25,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.2,0.3,6,31,31,300,100,31,31,31,31,31,240,31,31,31,7,31,31,31,7,31
26,0.4,0.8,0.8,0.2,0.4,0.7,1.6,2.5,0.8,1.6,0.3,0.5,1.2,0.9,0.2,0.9,1.2,3.4,0.6,2.9,21,21,22,21,100,22,21,6,4,39,22,5,4,5,136,22,22,48,134,4
27,0.4,0.6,1,0.2,0.5,0.7,2.4,3,0.8,3.4,0.3,1.2,1.1,1.1,0.4,1.4,1.2,2.7,1,4.5,31,31,28,300,38,42,41,39,5,38,31,38,42,42,42,42,31,31,132,38
28,0.4,0.7,0.8,0.2,0.8,0.8,2.5,1.4,1,1.6,0.4,0.6,1.1,1.2,0.3,1.4,1.8,3.9,0.7,2.1,52,52,52,52,52,52,52,52,52,52,52,52,105,105,52,52,52,104,52,52
29,0.4,0.9,0.9,0.2,1.2,0.9,2.6,1.5,0.6,1.4,0.5,0.6,1.1,0.8,0.3,0.5,1.7,2.7,0.6,2.1,55,56,56,56,56,56,56,56,4,56,56,56,109,56,56,55,55,113,113,55
30,0.5,1,1.1,0.2,1.3,1.1,3.1,2.3,0.5,2.1,0.7,0.8,1.7,1.5,0.5,0.6,2,6.1,0.9,2.2,59,59,60,59,60,60,60,60,121,60,60,60,60,60,243,60,60,60,121,60
31,0.8,1.4,2.1,0.2,2.1,1.8,4.4,5,1.3,5,1.2,1.9,3.2,3.7,0.8,0.9,3.3,8.7,2.2,3.8,129,64,64,129,64,64,64,64,129,64,64,64,64,64,64,64,64,64,129,64
32,0.9,1.5,2.7,0.2,1.8,1.7,3.8,5.4,1.5,5.6,1.2,2.1,3.3,4,0.8,1.1,3.1,7.5,2.3,3.4,133,137,68,134,68,67,67,68,68,68,68,68,68,68,133,68,67,69,133,68
