CH Name,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
49,0.8,1.7,1.5,1.4,1.7,0.6,0.9,0.6,1.2,0.9,29,29,29,29,29,120,180,120,29,120
50,0.8,1.5,1.6,1.5,1.9,0.7,0.8,0.6,1.2,1.0,29,29,29,29,29,120,180,120,29,120
51,0.9,1.5,1.4,1.6,1.6,0.7,0.8,0.6,1.2,0.9,29,29,29,59,29,120,180,120,29,120
52,0.8,1.6,1.4,1.4,1.7,0.6,0.8,0.6,1.2,0.9,29,29,29,59,29,120,180,120,29,120
53,0.9,1.5,1.3,1.4,1.7,0.6,0.7,0.6,1.2,0.9,29,29,29,59,29,120,180,120,29,120
54,0.8,1.5,1.3,1.4,1.6,0.5,0.7,0.6,1.2,0.8,29,29,29,59,29,120,60,120,29,120
55,0.8,1.5,1.3,1.4,1.6,0.6,0.8,0.6,1.2,0.9,59,29,30,59,30,120,60,120,30,120
56,0.8,1.6,1.5,1.5,1.6,0.6,0.7,0.6,1.2,0.9,59,29,59,59,29,120,60,120,29,120
57,0.9,1.7,1.8,1.7,1.7,0.7,0.8,0.6,1.2,1.0,59,30,9,59,30,120,60,120,30,120
58,0.8,1.8,1.7,1.7,1.6,0.8,0.7,0.6,1.2,1.0,59,30,59,59,30,240,60,120,30,120
59,0.8,1.7,1.6,1.6,1.6,0.7,0.7,0.7,1.2,1.0,59,30,59,59,30,120,60,120,30,120
60,0.8,1.7,1.7,1.7,1.7,0.7,0.7,0.6,1.2,1.0,59,30,59,59,30,120,60,120,30,120
61,1.0,2.0,1.6,1.7,1.6,0.7,0.7,0.6,1.2,1.1,59,30,59,59,30,120,60,120,30,120
62,0.9,1.8,1.7,1.9,1.7,0.8,0.7,0.6,1.3,1.0,59,30,59,59,30,120,60,120,30,120
63,1.0,1.7,1.5,1.7,1.7,0.8,0.7,0.6,1.3,1.0,59,30,59,59,30,120,60,120,30,120
64,0.9,1.7,1.6,1.8,1.6,0.7,0.7,0.7,1.2,1.0,59,30,59,59,30,120,60,120,30,120
65,0.9,1.7,1.7,1.8,1.7,0.7,0.7,0.6,1.3,1.0,59,30,59,59,30,59,300,120,30,120
66,1.0,1.8,1.7,1.9,1.7,0.7,0.7,0.6,1.2,1.1,59,30,59,59,30,120,60,120,30,120
67,1.0,2.0,2.0,2.0,1.7,0.8,0.7,0.6,1.2,1.1,59,30,59,59,30,240,300,120,30,120
68,1.0,1.9,1.7,2.0,1.7,0.8,0.7,0.6,1.4,1.1,59,30,59,59,30,240,300,120,30,120
69,1.1,1.8,1.8,1.9,1.6,0.8,0.7,0.6,1.3,1.2,59,30,59,59,30,120,300,120,30,120
70,1.1,2.1,1.8,2.1,1.8,0.9,0.8,0.6,1.4,1.2,59,30,59,59,30,9,300,120,30,120
71,1.0,1.8,1.8,2.0,1.6,0.7,0.7,0.7,1.3,1.1,59,30,59,59,30,120,300,120,30,120
72,1.0,1.9,2.0,2.1,1.7,1.0,0.7,0.7,1.4,1.2,59,30,59,59,30,59,300,120,30,120
73,1.0,1.7,1.8,2.0,1.8,0.7,0.7,0.7,1.3,1.1,59,30,59,59,30,60,300,30,30,120
74,1.0,2.0,1.9,2.1,1.7,0.8,0.8,0.7,1.4,1.2,59,30,30,59,30,59,300,120,30,120
75,1.0,2.0,1.9,2.0,1.8,0.8,0.7,0.7,1.2,1.3,59,30,59,59,30,120,300,120,30,120
76,1.0,2.0,1.7,1.9,1.7,0.7,0.7,0.7,1.3,1.2,59,30,59,59,30,59,300,120,30,120
77,1.0,1.9,1.9,2.1,1.7,0.7,0.8,0.6,1.3,1.2,59,30,30,59,30,60,300,120,30,120
78,1.1,2.1,1.9,2.1,1.8,0.8,0.7,0.6,1.3,1.3,59,30,59,59,30,59,180,30,30,120
79,1.0,2.0,2.1,2.2,1.7,0.9,0.9,0.6,1.3,1.3,59,30,59,59,30,120,180,120,30,120
80,1.1,2.1,2.0,2.1,1.7,0.7,0.7,0.7,1.2,1.3,59,30,59,59,30,59,180,120,30,120
81,1.1,2.1,2.0,2.0,1.8,0.7,0.7,0.7,1.3,1.2,59,30,59,59,30,120,180,120,30,120
82,1.0,2.1,1.8,2.1,1.8,0.8,0.8,0.7,1.2,1.2,59,30,59,59,30,120,180,120,30,120
83,1.0,1.8,1.8,2.0,1.8,0.8,0.7,0.7,1.3,1.3,59,30,59,59,30,120,180,120,30,120
84,1.0,1.9,1.9,2.1,1.8,0.7,0.7,0.7,1.4,1.3,59,30,59,59,30,120,180,120,30,120
85,1.1,2.1,1.8,2.2,1.8,0.9,0.8,0.7,1.3,1.3,59,30,59,59,30,120,180,240,30,120
