CH Name,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R
CH No.,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31
41,0.4,0.8,0.6,1.1,0.5,0.7,0.8,1.2,0.9,0.7,0.4,1.2,120,120,120,34,120,120,120,120,120,120,120,120
42,0.3,0.6,0.4,0.5,0.3,0.6,0.5,0.8,0.4,0.6,0.3,0.5,120,120,120,120,120,120,120,120,120,120,120,120
43,0.4,1.5,0.7,1.9,0.8,1.2,1,1.5,1.1,0.8,0.6,1.8,120,120,120,16,16,13,120,120,120,120,120,120
44,0.3,0.7,0.6,1.6,0.6,0.7,0.8,1.3,0.7,0.7,0.4,1.3,120,120,120,20,20,120,120,120,120,120,120,120
45,0.3,0.6,0.5,1.4,0.5,0.7,0.7,1,0.5,0.6,0.4,0.9,120,42,120,21,21,21,120,120,120,120,120,120
46,0.3,0.6,0.5,1.2,0.5,0.8,0.7,1.1,0.5,0.6,0.3,0.8,120,120,120,22,22,22,120,120,120,120,120,120
47,0.3,0.6,0.5,1.3,0.5,0.8,0.6,1.2,0.5,0.7,0.4,0.9,120,120,120,23,23,23,120,120,120,120,120,120
48,0.4,0.5,0.5,1.2,0.5,0.7,0.6,1.2,0.5,0.6,0.4,0.8,120,120,120,24,24,24,120,120,120,120,120,120
49,0.4,0.5,0.5,1,0.5,0.6,0.6,1.2,0.5,0.6,0.4,0.8,120,120,120,25,25,120,120,120,120,120,120,120
50,0.3,0.6,0.5,1,0.4,0.7,0.7,1.1,0.5,0.6,0.4,0.8,120,120,120,26,26,26,120,120,120,120,120,120
51,0.3,0.6,0.5,1,0.6,1.2,0.6,1,0.5,0.7,0.4,0.9,120,120,120,27,27,27,120,120,120,120,120,120
52,0.4,0.7,0.5,1.2,0.7,1.1,0.7,1.1,0.6,0.6,0.4,1,120,56,120,28,28,28,120,120,120,120,120,120
53,0.4,0.7,0.6,1.4,0.7,0.9,0.7,1.6,0.7,0.7,0.5,0.9,120,120,120,29,29,29,120,120,120,120,120,120
54,0.4,0.6,0.5,1.3,0.7,0.8,0.7,1.6,0.7,0.7,0.5,1,120,120,120,30,30,30,120,120,120,120,120,30
55,0.4,0.8,0.6,1.4,0.7,1,0.8,1.7,0.9,0.7,0.5,1.3,120,31,120,31,31,31,120,31,31,120,31,31
56,0.5,1,0.6,1.5,0.8,1.2,0.8,1.8,1,0.7,0.6,1.3,120,32,120,32,32,32,120,32,32,120,32,32
57,0.5,1.2,0.8,1.4,0.9,1.2,0.9,2,1.2,0.7,0.6,1.7,33,33,120,33,33,33,120,33,33,120,33,33
58,0.5,1.3,1,1.3,0.9,1.1,0.9,2,1.3,0.8,0.7,1.8,120,34,120,34,34,34,120,34,34,120,34,34
59,0.6,1.6,1,1.3,0.9,1.1,0.9,1.8,1.3,0.7,0.8,2,35,35,120,35,35,35,120,35,35,120,35,35
60,0.7,1.7,0.9,1.2,0.9,1.1,1.1,1.9,1.4,0.8,0.9,2.2,73,36,120,36,36,36,120,36,36,120,36,36
61,0.7,1.7,0.9,1.1,0.9,1,1.1,1.8,1.3,0.7,0.9,2.2,74,37,120,37,37,37,120,37,37,120,37,37
62,0.8,1.8,1,1.3,0.9,1.1,1,2.1,1.3,0.7,0.9,2,74,37,120,37,37,37,120,37,37,120,37,37
63,0.8,1.8,1,1.1,0.8,1.2,1.1,1.9,1.3,0.8,0.9,2,74,37,120,37,37,37,120,37,37,120,37,37
64,0.8,1.8,1.1,1.1,0.9,1.2,0.9,2,1.4,0.7,0.9,1.9,74,37,120,37,37,37,120,37,37,120,37,37
65,0.8,1.9,1.2,1,0.9,1.1,1.2,2,1.4,0.7,1,2.1,74,37,120,37,37,37,120,37,37,120,37,37
66,0.8,1.9,1.1,1.1,0.9,1.1,1.1,1.9,1.4,0.8,0.9,2.3,74,37,120,37,37,37,120,37,37,120,37,37
67,0.8,2,1.2,1.1,0.8,1.2,1.1,2,1.5,0.7,1,2.4,74,37,120,37,37,37,120,37,37,120,37,37
68,0.8,1.9,1.2,1.1,0.8,1.1,1.2,2.1,1.5,0.7,1,2.2,75,37,120,37,37,37,120,37,37,120,37,37
69,0.8,1.9,1.1,1.2,0.9,1.2,1.1,1.9,1.4,0.8,0.9,2,75,37,120,37,37,37,120,37,37,120,37,37
70,0.8,2,1.2,1.1,0.9,1.2,1.1,1.9,1.5,0.7,1,2.3,75,37,120,37,37,37,120,37,37,120,37,37
71,0.8,2,1.2,1.1,0.8,1.2,1.1,2.1,1.5,0.7,1,2.2,75,37,120,37,37,37,120,37,37,120,37,37
72,0.9,1.9,1.1,1.1,0.9,1.2,1.1,2.1,1.4,0.7,1,2.1,75,37,120,37,37,37,120,37,37,120,37,37
73,0.8,2.1,1.2,1.1,0.8,1.2,1.1,2,1.4,0.8,1,2.1,75,37,120,37,37,37,120,37,37,120,37,37
74,0.9,1.9,1.1,1,0.9,1.2,1.1,2,1.5,0.7,1,2.1,75,37,120,37,37,37,120,37,37,120,37,37
75,0.9,2.2,1.2,1.2,0.8,1.2,1.1,2.1,1.4,0.7,1,2.2,75,37,120,37,37,37,120,37,37,120,37,37
76,0.9,1.9,1.2,1.1,0.9,1.1,1.1,1.9,1.4,0.8,1,1.9,75,37,120,37,37,37,120,37,37,120,37,37
77,0.8,2,1.1,1.2,0.9,1.2,1.1,2,1.6,0.7,0.9,2,75,37,120,37,37,37,120,37,37,120,37,37
78,0.8,1.9,1.1,1.2,0.9,1.1,1.2,1.9,1.4,0.7,0.9,1.9,75,37,120,37,37,37,120,37,37,120,37,37
79,0.9,2,1.1,1.2,0.9,1.1,1.2,2.1,1.5,0.7,0.9,1.7,75,37,120,37,37,37,120,37,37,120,37,37
80,0.9,2,1.1,1.2,0.9,1.2,1.1,1.9,1.4,0.7,1,1.8,75,37,120,37,37,37,120,37,37,120,37,37
81,0.8,1.9,1.1,1.4,1,1.2,1.2,1.9,1.4,0.8,0.9,1.9,75,37,120,37,37,37,120,37,37,120,37,37
82,0.8,2.1,1.1,1.3,0.9,1.2,1.2,2,1.5,0.7,0.9,2,75,37,120,37,37,37,120,37,37,120,37,37
83,0.8,1.9,1.1,1.3,0.9,1.1,1.1,2.1,1.4,0.8,0.9,1.8,75,37,120,37,37,37,120,37,37,120,37,37
84,0.9,2,1.1,1.3,1,1.2,1.1,2.1,1.5,0.8,0.9,1.9,75,37,120,37,37,37,120,37,37,120,37,37
85,0.9,1.9,1.1,1.3,0.9,1.1,1.2,1.9,1.5,0.7,0.9,1.7,75,37,37,37,37,37,120,37,37,120,37,37
86,0.9,1.9,1.1,1.3,1,1.1,1.1,1.9,1.5,0.7,0.9,1.7,75,37,37,37,37,37,120,37,37,120,37,37
87,1,1.9,1.1,1.4,1,1.2,1.1,2,1.4,0.7,0.8,1.6,75,37,37,37,37,37,120,37,37,120,37,37
88,0.9,1.9,1,1.4,1,1.1,1.1,2,1.4,0.7,0.9,1.6,75,37,37,37,37,37,120,37,37,120,37,37
89,0.9,1.9,1.1,1.5,1,1.2,1,2,1.4,0.7,0.8,1.5,75,37,75,37,37,37,120,37,37,120,37,37
90,1,1.8,1,1.4,1,1.1,1,2,1.4,0.7,0.8,1.4,75,37,75,37,37,37,120,37,37,120,37,37
91,0.9,1.9,1,1.5,1,1.1,1.2,1.9,1.5,0.7,0.8,1.4,75,37,37,37,37,37,120,37,37,120,37,37
92,0.9,1.7,1,1.4,1,1.1,1.1,1.9,1.4,0.7,0.9,1.4,75,37,75,37,37,37,120,37,37,120,37,37
93,0.9,1.9,1,1.5,1,1.1,1.1,1.9,1.4,0.7,0.9,1.6,75,37,75,37,37,37,120,37,37,120,37,37
94,0.9,1.8,1,1.5,1,1,1.2,1.9,1.3,0.7,0.9,1.6,75,37,37,37,37,37,120,37,37,120,37,37
95,0.9,1.9,1,1.4,0.9,1.1,1.1,2,1.4,0.7,0.9,1.5,75,37,37,37,37,37,120,37,37,120,37,37
96,0.9,1.8,0.9,1.5,1,1.1,1.1,1.9,1.4,0.7,0.8,1.4,75,37,75,37,37,37,120,37,37,120,37,37
97,0.9,1.9,1,1.5,1,1.1,1.1,2,1.5,0.8,0.8,1.5,75,37,37,37,37,37,120,37,37,120,37,37
98,0.9,1.9,1,1.3,0.9,1.1,1.1,1.9,1.4,0.8,0.8,1.4,75,37,37,37,37,37,120,37,37,120,37,37
99,0.9,1.8,1,1.4,0.9,1.1,1.1,1.9,1.4,0.7,0.8,1.5,75,37,37,37,37,37,120,37,37,120,37,37
100,0.8,1.8,1.1,1.4,1,1.1,1.2,2,1.5,0.8,0.8,1.5,75,37,75,37,37,37,120,37,37,120,37,37
101,0.9,1.8,1,1.4,0.9,1.2,1,2,1.4,0.7,0.8,1.5,75,37,120,37,37,37,120,37,37,120,37,37
102,0.9,1.9,1,1.4,0.9,1.1,1.1,2,1.4,0.8,0.8,1.5,75,37,120,37,37,37,120,37,37,120,37,37
