siter,time,운전모드,Error,ErrorUnit,COMP모드,COMP최대,COMP최소,MAX제한사유,EEV모드,FAN 퍼지목표,COMP정시제어주기,COMP퍼지증분,EEV제어주기,EEV정시제어주기,EEV퍼지증분,EEV정시증분,제상단계,약계자제어,예열운전1,예열운전2,LOW AMBIENT운전,CT제한,방열판 제한,과전류 제어,과부하 제어,ACM,통신시도,RESET TIMER,대기전력상태,DC PEAK,DCLINK 에러,COMP실패 에러,CT2 에러,PFC 실패,실외FAN LOCK,INV토출카운트,HEATSINK카운트,COMP과전류,CPIPE카운트,고압스위치에러,실내기운전용량합,Unnamed: 42,Unnamed: 43,Unnamed: 44,siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,습도1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,Unnamed: 8,현재고압,현재저압,COMP기준,Unnamed: 12,압축비,설정온도차,Unnamed: 15,Unnamed: 16,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,Unnamed: 35,Unnamed: 36,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,siter,time,운전모드,Error,ErrorUnit,INV 입력전류,INV 입력전압,INV전원주파수,소비전력,INV1 목표DC,INV DC전압,전류 기준,Q축 기준,Q축 전류,D축 기준,D축 전류,INV 제한사유,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Comp. 과부하,Comp. 과전류,Heatsink제한,예열운전,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
11,08:25:43,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,11,08:25:43,0,,,24,5,3,290,27.93,18.04,13.01,0.0,,97,0,0,220,,,,,,11,08:25:43,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,71.0,43.0,38.3,52.0,119.7,,,,,,,,,,,,,11,08:25:43,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
12,08:25:45,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,12,08:25:45,0,,,24,5,3,290,27.93,18.04,13.01,0.0,,97,0,0,220,,,,,,12,08:25:45,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,70.0,43.0,37.0,52.0,118.7,,,,,,,,,,,,,12,08:25:45,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
13,08:25:47,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,41,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,13,08:25:47,0,,,24,5,3,290,27.93,18.04,13.01,0.0,,97,0,0,220,,,,,,13,08:25:47,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,70.0,43.0,35.7,52.0,118.7,,,,,,,,,,,,,13,08:25:47,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
14,08:25:49,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,44,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,14,08:25:49,0,,,24,5,3,290,27.93,20.07,14.68,0.0,,100,0,0,220,,,,,,14,08:25:49,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.7,220.0,-48.7,-50.3,70.0,43.0,35.7,52.0,118.7,,,,,,,,,,,,,14,08:25:49,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
15,08:25:51,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,15,08:25:51,0,,,24,5,3,290,27.93,20.07,14.68,0.0,,97,0,0,220,,,,,,15,08:25:51,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,34.9,51.0,117.7,,,,,,,,,,,,,15,08:25:51,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
16,08:25:53,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,48,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,16,08:25:53,0,,,24,5,3,290,27.93,20.07,14.68,0.0,,97,0,0,220,,,,,,16,08:25:53,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,34.9,51.0,117.7,,,,,,,,,,,,,16,08:25:53,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
17,08:25:55,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,51,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,17,08:25:55,0,,,24,5,3,290,27.93,23.18,18.04,0.0,,97,0,0,220,,,,,,17,08:25:55,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,34.1,51.0,117.7,,,,,,,,,,,,,17,08:25:55,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
18,08:25:57,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,18,08:25:57,0,,,24,5,3,290,27.93,23.18,18.04,0.0,,100,0,0,220,,,,,,18,08:25:57,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,33.6,51.0,117.7,,,,,,,,,,,,,18,08:25:57,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
19,08:25:59,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,54,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,19,08:25:59,0,,,24,5,3,290,27.93,23.18,18.04,0.0,,100,0,0,220,,,,,,19,08:25:59,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,33.6,51.0,117.7,,,,,,,,,,,,,19,08:25:59,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
20,08:26:01,0,,,0,1,1,,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,58,0,0,0,69,0,1,0,0,0,0,0,0,24,,,,20,08:26:01,0,,,24,5,3,290,27.93,23.18,18.04,0.0,,100,0,0,220,,,,,,20,08:26:01,0,,,0,0,0,,0,0,0,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,290,0,,,,,,,39.3,220.0,-48.7,-50.3,69.0,43.0,33.2,51.0,117.7,,,,,,,,,,,,,20,08:26:01,0,,,0.0,177,60,0.0,380,245,0.0,0.0,6.0,0.0,3.6,-,,,,,,,,,,0,0,0,0,,,,
