siter,time,운전모드,Error,ErrorUnit,COMP모드,COMP최대,COMP최소,MAX제한사유,EEV모드,FAN 퍼지목표,COMP정시제어주기,COMP퍼지증분,EEV제어주기,EEV정시제어주기,EEV퍼지증분,EEV정시증분,제상단계,약계자제어,예열운전1,예열운전2,LOW AMBIENT운전,CT제한,방열판 제한,과전류 제어,과부하 제어,ACM,통신시도,RESET TIMER,대기전력상태,DC PEAK,DCLINK 에러,COMP실패 에러,CT2 에러,PFC 실패,실외FAN LOCK,INV토출카운트,HEATSINK카운트,COMP과전류,CPIPE카운트,고압스위치에러,실내기운전용량합,Unnamed: 42,Unnamed: 43,Unnamed: 44,siter,time,운전모드,Error,ErrorUnit,용량1,모드1,풍량1,EEV1,공기1,배관in1,배관out1,SC/SH1,추가정보1,통신1,CEN1,에러1,습도1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,Unnamed: 8,현재고압,현재저압,COMP기준,Unnamed: 12,압축비,설정온도차,Unnamed: 15,Unnamed: 16,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,Unnamed: 35,Unnamed: 36,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,siter,time,운전모드,Error,ErrorUnit,INV 입력전류,INV 입력전압,INV전원주파수,소비전력,INV1 목표DC,INV DC전압,전류 기준,Q축 기준,Q축 전류,D축 기준,D축 전류,INV 제한사유,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Comp. 과부하,Comp. 과전류,Heatsink제한,예열운전,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
521,08:42:48,1,,,2,22,1,Te Limit,4,0,37,2,36,13,0,-1,0,1,0,0,0,0,0,0,0,0,228,255,0,0,0,127,0,1,25,44,5,126,5,142,24,,,,521,08:42:48,1,,,24,5,3,143,27.93,4.14,2.71,-1.43,,100,0,0,220,,,,,,521,08:42:48,1,,,0,0,82,,0,0,22,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,521,08:42:48,1,,,14.6,172,60,2.56,300,300,10.2,7.2,7.4,7.0,7.0,TE,,,,,,,,,,0,0,0,0,,,,
522,08:42:50,1,,,2,22,1,Te Limit,4,0,40,2,39,13,0,-1,0,1,0,0,0,0,0,0,0,0,230,255,0,0,0,127,0,1,25,47,5,124,5,139,24,,,,522,08:42:50,1,,,24,5,3,143,27.93,4.14,2.71,-1.43,,100,0,0,220,,,,,,522,08:42:50,1,,,0,0,82,,0,0,22,,1.0,9.9,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,522,08:42:50,1,,,14.6,172,60,2.52,295,295,10.2,7.2,6.4,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
523,08:42:52,1,,,2,22,1,Te Limit,4,0,40,2,2,13,0,-1,0,1,0,0,0,0,0,0,0,0,230,255,0,0,0,127,0,1,25,47,5,124,5,139,24,,,,523,08:42:52,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,523,08:42:52,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,523,08:42:52,1,,,14.6,172,60,2.52,295,295,10.2,7.2,6.4,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
524,08:42:54,1,,,2,22,1,Te Limit,4,0,43,2,2,13,0,-1,0,1,0,0,0,0,0,0,0,0,233,255,0,0,0,126,0,1,25,62,5,104,5,136,24,,,,524,08:42:54,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,524,08:42:54,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,524,08:42:54,1,,,14.4,172,60,2.52,300,300,10.0,7.2,6.8,7.0,7.0,TE,,,,,,,,,,0,0,0,0,,,,
525,08:42:57,1,,,2,22,1,Te Limit,4,0,43,2,6,13,0,-1,0,1,0,0,0,0,0,0,0,0,233,255,0,0,0,126,0,1,25,62,5,104,5,136,24,,,,525,08:42:57,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,525,08:42:57,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.6,44.6,64.0,126.7,,,,,,,,,,,,,525,08:42:57,1,,,14.4,172,60,2.52,300,300,10.0,7.2,6.8,7.0,7.0,TE,,,,,,,,,,0,0,0,0,,,,
526,08:42:59,1,,,2,22,1,Te Limit,4,0,47,2,6,13,0,-1,0,1,0,0,0,0,0,0,0,0,235,255,0,0,0,126,0,1,25,61,5,110,5,142,24,,,,526,08:42:59,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,526,08:42:59,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.6,44.6,64.0,126.7,,,,,,,,,,,,,526,08:42:59,1,,,14.6,172,60,2.52,295,300,10.0,7.2,8.2,7.0,6.4,TE,,,,,,,,,,0,0,0,0,,,,
527,08:43:01,1,,,2,22,1,Te Limit,4,0,50,2,9,13,0,-1,0,1,0,0,0,0,0,0,0,0,237,255,0,0,0,126,0,1,25,66,5,114,5,147,24,,,,527,08:43:01,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,527,08:43:01,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,527,08:43:01,1,,,14.6,172,60,2.52,295,300,10.0,7.2,7.2,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
528,08:43:03,1,,,2,22,1,Te Limit,4,0,50,2,9,13,0,-1,0,1,0,0,0,0,0,0,0,0,237,255,0,0,0,126,0,1,25,66,5,114,5,147,24,,,,528,08:43:03,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,528,08:43:03,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,528,08:43:03,1,,,14.6,172,60,2.52,290,300,10.0,7.2,7.2,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
529,08:43:05,1,,,2,22,1,Te Limit,4,0,54,2,13,13,0,-1,0,1,0,0,0,0,0,0,0,0,239,255,0,0,0,126,0,1,25,63,5,112,5,145,24,,,,529,08:43:05,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,529,08:43:05,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,529,08:43:05,1,,,14.6,172,60,2.52,295,300,10.0,7.2,6.6,7.0,7.2,TE,,,,,,,,,,0,0,0,0,,,,
530,08:43:07,1,,,2,22,1,Te Limit,4,0,54,2,16,13,0,-1,0,1,0,0,0,0,0,0,0,0,242,255,0,0,0,126,0,1,25,63,5,112,5,145,24,,,,530,08:43:07,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,530,08:43:07,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,530,08:43:07,1,,,14.6,172,60,2.52,295,300,10.0,7.2,6.6,7.0,7.2,TE,,,,,,,,,,0,0,0,0,,,,
531,08:43:09,1,,,2,22,1,Te Limit,4,0,57,2,16,13,0,-1,0,1,0,0,0,0,0,0,0,0,242,255,0,0,0,126,0,1,25,66,5,118,5,151,24,,,,531,08:43:09,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,531,08:43:09,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,531,08:43:09,1,,,14.4,172,60,2.52,300,300,10.0,7.2,6.8,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
532,08:43:11,1,,,2,22,1,Te Limit,4,0,0,2,19,13,0,-1,0,1,0,0,0,0,0,0,0,0,244,255,0,0,0,126,0,1,25,38,5,108,5,140,24,,,,532,08:43:11,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,532,08:43:11,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,532,08:43:11,1,,,14.6,172,60,2.52,295,300,10.0,7.2,6.4,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
533,08:43:13,1,,,2,22,1,Te Limit,4,0,0,2,19,13,0,-1,0,1,0,0,0,0,0,0,0,0,244,255,0,0,0,126,0,1,25,38,5,108,5,140,24,,,,533,08:43:13,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,99,0,0,220,,,,,,533,08:43:13,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,533,08:43:13,1,,,14.6,172,60,2.52,295,300,10.0,7.2,6.4,7.0,7.4,TE,,,,,,,,,,0,0,0,0,,,,
534,08:43:15,1,,,2,22,1,Te Limit,4,0,4,2,23,13,0,-1,0,1,0,0,0,0,0,0,0,0,246,255,0,0,0,125,0,1,25,49,5,104,5,154,24,,,,534,08:43:15,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,534,08:43:15,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,534,08:43:15,1,,,14.4,172,60,2.52,295,300,10.0,7.2,7.0,7.0,7.6,TE,,,,,,,,,,0,0,0,0,,,,
535,08:43:17,1,,,2,22,1,Te Limit,4,0,4,2,26,13,0,-1,0,1,0,0,0,0,0,0,0,0,248,255,0,0,0,125,0,1,25,49,5,104,5,154,24,,,,535,08:43:17,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,535,08:43:17,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,90,90,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,535,08:43:17,1,,,14.4,172,60,2.52,295,300,10.0,7.2,7.0,7.0,7.6,TE,,,,,,,,,,0,0,0,0,,,,
536,08:43:19,1,,,2,22,1,Te Limit,4,0,7,2,26,13,0,-1,0,1,0,0,0,0,0,0,0,0,248,255,0,0,0,119,0,1,25,2,5,8,5,158,24,,,,536,08:43:19,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,536,08:43:19,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,46.1,44.6,64.0,126.7,,,,,,,,,,,,,536,08:43:19,1,,,14.2,172,60,2.48,295,305,9.6,7.2,7.8,6.4,6.6,TE,,,,,,,,,,0,0,0,0,,,,
537,08:43:21,1,,,2,22,1,Te Limit,4,0,11,2,30,13,0,-1,0,1,0,0,0,0,0,0,0,0,1,255,0,0,0,123,0,1,24,88,5,55,5,137,24,,,,537,08:43:21,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,0,0,0,220,,,,,,537,08:43:21,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.6,44.1,64.0,126.7,,,,,,,,,,,,,537,08:43:21,1,,,14.2,172,60,2.48,290,300,9.8,7.2,6.8,6.8,7.4,TE,,,,,,,,,,0,0,0,0,,,,
538,08:43:23,1,,,2,22,1,Te Limit,4,0,11,2,33,13,0,-1,0,1,0,0,0,0,0,0,0,0,1,255,0,0,0,123,0,1,24,88,5,55,5,137,24,,,,538,08:43:23,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,0,0,0,220,,,,,,538,08:43:23,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.6,44.1,64.0,126.7,,,,,,,,,,,,,538,08:43:23,1,,,14.2,172,60,2.48,290,300,9.8,7.2,6.8,6.8,7.4,TE,,,,,,,,,,0,0,0,0,,,,
539,08:43:25,1,,,2,22,1,Te Limit,4,0,14,2,33,13,0,-1,0,1,0,0,0,0,0,0,0,0,3,255,0,0,0,123,0,1,24,88,5,62,5,144,24,,,,539,08:43:25,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,66,0,0,220,,,,,,539,08:43:25,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.1,64.0,126.7,,,,,,,,,,,,,539,08:43:25,1,,,14.4,172,60,2.48,290,300,9.8,7.2,7.4,6.8,5.2,TE,,,,,,,,,,0,0,0,0,,,,
540,08:43:27,1,,,2,22,1,Te Limit,4,0,14,2,36,13,0,-1,0,1,0,0,0,0,0,0,0,0,5,255,0,0,0,124,0,1,25,0,5,65,5,132,24,,,,540,08:43:27,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,540,08:43:27,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.1,64.0,126.7,,,,,,,,,,,,,540,08:43:27,1,,,14.4,172,60,2.48,290,300,9.8,7.2,7.4,6.8,5.2,TE,,,,,,,,,,0,0,0,0,,,,
541,08:43:29,1,,,2,22,1,Te Limit,4,0,17,2,36,13,0,-1,0,1,0,0,0,0,0,0,0,0,5,255,0,0,0,124,0,1,25,0,5,65,5,132,24,,,,541,08:43:29,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,541,08:43:29,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,142,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.1,64.0,126.7,,,,,,,,,,,,,541,08:43:29,1,,,14.2,172,60,2.48,295,300,10.0,7.2,8.0,6.8,7.0,TE,,,,,,,,,,0,0,0,0,,,,
542,08:43:31,1,,,2,22,1,Te Limit,4,0,21,2,0,13,0,-1,0,1,0,0,0,0,0,0,0,0,8,255,0,0,0,123,0,1,25,2,5,59,5,143,24,,,,542,08:43:31,1,,,24,5,3,142,27.57,4.14,3.07,-1.07,,87,0,0,220,,,,,,542,08:43:31,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,542,08:43:31,1,,,14.2,172,60,2.48,295,300,9.8,7.2,7.2,6.8,7.0,TE,,,,,,,,,,0,0,0,0,,,,
543,08:43:33,1,,,2,22,1,Te Limit,4,0,21,2,0,13,0,-1,0,1,0,0,0,0,0,0,0,0,8,255,0,0,0,123,0,1,25,2,5,59,5,143,24,,,,543,08:43:33,1,,,24,5,3,141,27.57,4.14,2.71,-1.43,,87,0,0,220,,,,,,543,08:43:33,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,543,08:43:33,1,,,14.4,172,60,2.48,295,300,9.8,7.2,7.2,6.8,7.0,TE,,,,,,,,,,0,0,0,0,,,,
544,08:43:35,1,,,2,22,1,Te Limit,4,0,24,2,3,13,0,-1,0,1,0,0,0,0,0,0,0,0,10,255,0,0,0,123,0,1,25,11,5,58,5,140,24,,,,544,08:43:35,1,,,24,5,3,141,27.57,4.14,2.71,-1.43,,90,0,0,220,,,,,,544,08:43:35,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,544,08:43:35,1,,,14.2,172,60,2.48,295,300,9.8,7.2,7.0,6.6,7.6,TE,,,,,,,,,,0,0,0,0,,,,
545,08:43:37,1,,,2,22,1,Te Limit,4,0,24,2,6,13,0,-1,0,1,0,0,0,0,0,0,0,0,12,255,0,0,0,123,0,1,25,11,5,58,5,140,24,,,,545,08:43:37,1,,,24,5,3,141,27.57,4.14,2.71,-1.43,,91,0,0,220,,,,,,545,08:43:37,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,545,08:43:37,1,,,14.2,172,60,2.48,295,300,9.8,7.2,7.0,6.6,7.6,TE,,,,,,,,,,0,0,0,0,,,,
546,08:43:39,1,,,2,22,1,Te Limit,4,0,27,2,6,13,0,-1,0,1,0,0,0,0,0,0,0,0,12,255,0,0,0,123,0,1,25,5,5,62,5,145,24,,,,546,08:43:39,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,91,0,0,220,,,,,,546,08:43:39,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,546,08:43:39,1,,,14.4,172,60,2.48,295,300,9.8,7.2,7.6,6.8,6.2,TE,,,,,,,,,,0,0,0,0,,,,
547,08:43:41,1,,,2,22,1,Te Limit,4,0,31,2,10,13,0,-1,0,1,0,0,0,0,0,0,0,0,14,255,0,0,0,123,0,1,24,94,5,62,5,145,24,,,,547,08:43:41,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,547,08:43:41,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,547,08:43:41,1,,,14.2,172,60,2.48,290,300,9.8,7.2,6.8,6.8,7.8,TE,,,,,,,,,,0,0,0,0,,,,
548,08:43:43,1,,,2,22,1,Te Limit,4,0,31,2,10,13,0,-1,0,1,0,0,0,0,0,0,0,0,14,255,0,0,0,123,0,1,24,94,5,62,5,145,24,,,,548,08:43:43,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,548,08:43:43,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,548,08:43:43,1,,,14.2,172,60,2.48,290,300,9.8,7.2,6.8,6.8,7.8,TE,,,,,,,,,,0,0,0,0,,,,
549,08:43:45,1,,,2,22,1,Te Limit,4,0,34,2,13,13,0,-1,0,1,0,0,0,0,0,0,0,0,17,255,0,0,0,124,0,1,24,99,5,70,5,137,24,,,,549,08:43:45,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,94,0,0,220,,,,,,549,08:43:45,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,549,08:43:45,1,,,14.4,172,60,2.48,300,300,10.0,7.2,7.0,6.8,7.4,TE,,,,,,,,,,0,0,0,0,,,,
550,08:43:47,1,,,2,22,1,Te Limit,4,0,34,2,17,13,0,-1,0,1,0,0,0,0,0,0,0,0,19,255,0,0,0,124,0,1,24,99,5,70,5,137,24,,,,550,08:43:47,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,94,0,0,220,,,,,,550,08:43:47,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,550,08:43:47,1,,,14.4,172,60,2.48,300,300,10.0,7.2,7.0,6.8,7.4,TE,,,,,,,,,,0,0,0,0,,,,
551,08:43:49,1,,,2,22,1,Te Limit,4,0,38,2,17,13,0,-1,0,1,0,0,0,0,0,0,0,0,19,255,0,0,0,123,0,1,25,11,5,61,5,145,24,,,,551,08:43:49,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,94,0,0,220,,,,,,551,08:43:49,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,551,08:43:49,1,,,14.2,172,60,2.48,295,300,10.0,7.2,7.4,6.8,7.2,TE,,,,,,,,,,0,0,0,0,,,,
552,08:43:51,1,,,2,22,1,Te Limit,4,0,41,2,20,13,0,-1,0,1,0,0,0,0,0,0,0,0,21,255,0,0,0,123,0,1,25,10,5,64,5,147,24,,,,552,08:43:51,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,95,0,0,220,,,,,,552,08:43:51,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,552,08:43:51,1,,,14.4,172,60,2.48,295,300,10.0,7.2,6.8,6.8,6.8,TE,,,,,,,,,,0,0,0,0,,,,
553,08:43:53,1,,,2,22,1,Te Limit,4,0,41,2,20,13,0,-1,0,1,0,0,0,0,0,0,0,0,21,255,0,0,0,123,0,1,25,10,5,64,5,147,24,,,,553,08:43:53,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,95,0,0,220,,,,,,553,08:43:53,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,553,08:43:53,1,,,14.4,172,60,2.48,295,300,10.0,7.2,6.8,6.8,6.8,TE,,,,,,,,,,0,0,0,0,,,,
554,08:43:55,1,,,2,22,1,Te Limit,4,0,44,2,23,13,0,-1,0,1,0,0,0,0,0,0,0,0,23,255,0,0,0,124,0,1,25,5,5,75,5,142,24,,,,554,08:43:55,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,554,08:43:55,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,554,08:43:55,1,,,14.4,172,60,2.48,295,300,10.0,7.2,7.6,6.8,6.8,TE,,,,,,,,,,0,0,0,0,,,,
555,08:43:57,1,,,2,22,1,Te Limit,4,0,44,2,27,13,0,-1,0,1,0,0,0,0,0,0,0,0,23,255,0,0,0,124,0,1,25,5,5,75,5,142,24,,,,555,08:43:57,1,,,24,5,3,141,27.57,4.14,3.07,-1.07,,100,0,0,220,,,,,,555,08:43:57,1,,,0,0,82,,0,0,22,,1.0,9.6,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,89,89,750,750,0,0,140,255,,,,,,,41.5,220.0,-48.7,-50.3,78.0,45.1,44.6,64.0,126.7,,,,,,,,,,,,,555,08:43:57,1,,,14.4,172,60,2.48,295,300,10.0,7.2,7.6,6.8,6.8,TE,,,,,,,,,,0,0,0,0,,,,
